cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
cy58_1_CD45_pos_F01_S637_comb,Mel58,T.CD8,post.treatment,Tirosh,3845,115603,3633,9576.730761247769
CY89COREQ1_F11_S359_comb,Mel89,T.CD8,treatment.naive,Tirosh,3968,203212,3726,9293.78782849503
cy80_CD45_pos_PD1_pos_H04_S184_comb,Mel80,T.CD4,treatment.naive,Tirosh,3893,89962,3718,11013.703246605004
cy103_CD45pos_S119,Mel103,T.CD8,treatment.naive,New,4536,371900,4326,9313.178852265819
cy75_1CORE_CD45pos_S86,Mel75,T.cell,post.treatment,New,4198,334048,4027,8277.749410381533
cy60_1_cd_45_pos_3_F04_S352_comb,Mel60,T.cell,post.treatment,Tirosh,3324,97721,3104,9878.688561425452
CY89COREQ1_D12_S336_comb,Mel89,T.cell,treatment.naive,Tirosh,3830,124765,3567,9435.351904834146
CY89COREQ1_E03_S339_comb,Mel89,B.cell,treatment.naive,Tirosh,3398,92647,3172,8601.329547356061
cy110_CD45pos_S345,Mel110,Macrophage,post.treatment,New,5790,690129,5579,10681.668786801554
cy79_p5_CD45_pos_PD1_pos_E04_S628_comb,Mel79,T.CD8,treatment.naive,Tirosh,4540,102455,4354,10388.89452921956
MGH00478_CD45pos_2_S371,Mel478,T.cell,treatment.naive,New,3046,315167,2838,5418.729901810464
cy103_CD45pos_S209,Mel103,T.cell,treatment.naive,New,4104,261710,3897,9331.22629964014
merck_cd45pos_PL3_S355,Mel194,T.CD4,post.treatment,New,4607,668640,4472,9558.071217041748
cy105_Zombineg_CD45neg_CD90neg_S119,Mel105,?,treatment.naive,New,5611,411982,5417,11669.130226728717
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C07_S511_comb,Mel79,B.cell,treatment.naive,Tirosh,2609,31418,2391,8648.125689358178
CY75_1_CD45_CD8_7__S231_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5047,448988,4877,11292.050337792793
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G08_S1040_comb,Mel60,B.cell,post.treatment,Tirosh,2724,91456,2522,7471.19124643043
cy75_1CORE_CD45pos_S68,Mel75,T.CD4,post.treatment,New,4313,316307,4097,8815.300210385862
cy80_CD45_neg_D05_S905_comb,Mel80,Endo.,treatment.naive,Tirosh,4231,15090,4165,15274.144565663328
CY89A_CD45_POS_6_A04_S100_comb,Mel89,Macrophage,treatment.naive,Tirosh,5688,300414,5457,12317.355187650399
cy79_p4_CD45_pos_PD1_pos_F04_S352_comb,Mel79,T.CD8,treatment.naive,Tirosh,3170,117520,2964,8801.53624858729
cy112_CD45pos_S355,Mel112,B.cell,treatment.naive,New,5239,1333136,5117,8770.103230279909
cy102_CD45pos_S124,Mel102,T.CD8,post.treatment,New,4910,654893,4758,10360.130063839884
CY89A_Core_15_B02_S14_comb,Mel89,Macrophage,treatment.naive,Tirosh,4679,187749,4448,11488.543686390887
cy80_CD45_neg_F05_S449_comb,Mel80,T.CD8,treatment.naive,Tirosh,3482,58413,3301,11043.343059547009
CY89A_CD45_POS_6_G11_S179_comb,Mel89,T.CD8,treatment.naive,Tirosh,2182,32020,2001,7610.345165751517
cy110_CD45neg_CD90neg_S273,Mel110,?,post.treatment,New,2875,1183905,2655,3413.8346577425573
cy53_1_CD45_pos_2_H09_S1053_comb,Mel53,T.CD8,treatment.naive,Tirosh,5080,232926,4863,11815.620573443182
cy103_CD45pos_S223,Mel103,B.cell,treatment.naive,New,5843,635809,5666,11401.19310269577
cy126_CD45pos_1_S36,Mel126,T.CD4,post.treatment,New,4104,418506,3915,8393.99687266976
cy102_CD45pos_S128,Mel102,T.cell,post.treatment,New,5772,732052,5586,12220.327172426107
CY75_1_CD45_CD8_7__S242_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3927,242617,3722,9572.875560290357
cy121.1_CD45pos_S207,Mel121.1,NK,post.treatment,New,3843,1070785,3676,6631.84792629445
monika_F7_S150_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5767,1132051,5663,10786.727704105739
cy72_CD45_pos_G08_S944_comb,Mel72,T.CD4,post.treatment,Tirosh,3861,92073,3645,9674.207713508655
CY88CD45POS_7_E01_S241_comb,Mel88,T.CD4,post.treatment,Tirosh,3192,280846,2974,5504.341165564144
cy126_CD45pos_2_S177,Mel126,T.CD8,post.treatment,New,4537,692423,4313,9502.138048586618
MGH00478_CD45pos_2_S336,Mel478,T.CD8,treatment.naive,New,3983,663426,3800,7774.595678706257
cy75_1B_CD45pos_S59,Mel75,T.CD8,post.treatment,New,4333,308042,4128,8813.056027306673
cy116_CD45pos_S321,Mel116,T.CD8,treatment.naive,New,4345,384137,4138,9259.475655576267
cy79_p4_CD45_pos_PD1_pos_G08_S368_comb,Mel79,T.CD8,treatment.naive,Tirosh,4051,181353,3837,9221.753766636215
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C02_S506_comb,Mel79,T.CD8,treatment.naive,Tirosh,3768,63063,3571,10620.129615022786
CY94CD45POS_1_B06_S114_comb,Mel94,B.cell,post.treatment,Tirosh,5287,218841,5140,12438.929283197907
cy105_CD45neg_S277,Mel105,Endo.,treatment.naive,New,6631,766591,6494,13119.048553745746
cy102_CD45pos_S211,Mel102,T.cell,post.treatment,New,5175,543097,4996,10077.26930181375
merck_cd45pos_PL3_S331,Mel194,T.CD8,post.treatment,New,4597,707463,4420,9279.338527690385
cy75_1CORE_CD45pos_S72,Mel75,T.cell,post.treatment,New,3763,139386,3565,8555.584702804252
CY75_1_CD45_CD8_1__S96_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4704,319728,4521,11322.599111221336
cy102_CD45pos_S97,Mel102,Macrophage,post.treatment,New,9049,1151281,8908,16622.628651221792
cy84_Met_CD45_pos_C07_S895_comb,Mel84,T.CD4,treatment.naive,Tirosh,2478,97936,2272,7222.399937517909
cy74_CD45_pos_F02_S734_comb,Mel74,B.cell,post.treatment,Tirosh,2486,39967,2284,7797.705384566647
cy84_Met_CD45_pos_A04_S868_comb,Mel84,T.CD8,treatment.naive,Tirosh,2354,90547,2151,6322.793645260481
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E07_S439_comb,Mel79,T.CD8,treatment.naive,Tirosh,2178,29954,2015,8033.260100547897
cy80_CD45_neg_A07_S391_comb,Mel80,T.CD4,treatment.naive,Tirosh,3645,138271,3451,10269.108928805765
cy82_CD45_neg_3_C08_S800_comb,Mel82,CAF,treatment.naive,Tirosh,2253,337671,2146,7419.063494965467
cy102_CD45pos_S105,Mel102,T.cell,post.treatment,New,5252,366508,5071,11195.42834643467
cy112_CD45pos_S322,Mel112,T.cell,treatment.naive,New,5764,1043736,5630,9087.358983257178
cy88_cd45pos_5_D05_S233_comb,Mel88,T.CD4,post.treatment,Tirosh,5280,939624,5114,8928.41655463658
cy105_CD45pos_S205,Mel105,T.cell,treatment.naive,New,4384,309218,4202,9233.68673957705
cy116_CD45pos_S354,Mel116,T.CD8,treatment.naive,New,5460,547071,5242,12111.700093585438
CY89COREQ1_G09_S369_comb,Mel89,B.cell,treatment.naive,Tirosh,2670,41063,2465,8082.954726044018
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B08_S404_comb,Mel79,T.CD8,treatment.naive,Tirosh,3624,57635,3410,10333.60773474701
cy74_CD45_pos_D05_S713_comb,Mel74,T.CD8,post.treatment,Tirosh,2426,14279,2320,9833.128983267085
CY89COREQ1_G06_S366_comb,Mel89,B.cell,treatment.naive,Tirosh,3187,60176,2990,8889.043078389781
cy75_1CORE_CD45pos_S42,Mel75,T.CD4,post.treatment,New,4774,494641,4602,9125.909483689476
cy53_1_CD45_pos_2_C12_S996_comb,Mel53,Macrophage,treatment.naive,Tirosh,4444,134916,4212,10742.312372780725
Cy74_CD45_H02_S470_comb,Mel74,T.CD8,post.treatment,Tirosh,3263,123948,3053,9479.77105650138
CY88CD45POS_7_E09_S249_comb,Mel88,Macrophage,post.treatment,Tirosh,5948,984981,5770,11238.498681798887
cy121.1_CD45pos_S204,Mel121.1,B.cell,post.treatment,New,4706,1182683,4564,7691.866941247312
cy53_1_CD45_pos_2_A04_S964_comb,Mel53,NK,treatment.naive,Tirosh,4053,84121,3840,11710.422063389899
Cy81_Bulk_CD45_D06_S138_comb,Mel81,?,treatment.naive,Tirosh,7171,437386,6996,16035.987064684079
cy74_CD45_pos_D10_S718_comb,Mel74,T.CD8,post.treatment,Tirosh,2543,25013,2431,9532.350663865387
cy75_1B_CD45pos_S81,Mel75,T.CD8,post.treatment,New,4407,364436,4207,8247.224941184832
CY58_1_CD45_D11_S1007_comb,Mel58,T.cell,post.treatment,Tirosh,3084,134508,2899,8061.68053960089
CY58_1_CD45_C12_S996_comb,Mel58,?,post.treatment,Tirosh,3209,166323,2991,7725.234438411633
cy79_p4_CD45_pos_PD1_pos_G12_S372_comb,Mel79,T.CD8,treatment.naive,Tirosh,3367,71978,3146,9813.941211501406
cy105_CD45neg_S216,Mel105,Endo.,treatment.naive,New,6819,1198540,6691,12833.405407945747
cy80_Cd45_pos_PD1_pos_C10_S70_comb,Mel80,T.cell,treatment.naive,Tirosh,4476,138406,4231,11371.544150258449
cy98_CD45pos_2_S298,Mel98,Macrophage,post.treatment,New,3806,326545,3601,8709.577721869173
cy75_1B_CD45pos_S40,Mel75,T.cell,post.treatment,New,4320,518116,4167,7895.982681957615
CY89COREQ1_D02_S326_comb,Mel89,T.CD8,treatment.naive,Tirosh,3285,110714,3062,8899.84478532695
cy79_p3_CD45_pos_PD1_neg_B12_S120_comb,Mel79,B.cell,treatment.naive,Tirosh,2464,32276,2287,8092.928154444949
cy74_CD45_pos_C09_S705_comb,Mel74,T.CD8,post.treatment,Tirosh,3030,59220,2846,9383.482652666127
CY94CD45POS_1_F02_S158_comb,Mel94,T.cell,post.treatment,Tirosh,5024,401501,4855,9578.845741475649
CY88CD45_150813_E05_S341_comb,Mel88,B.cell,post.treatment,Tirosh,5114,824773,4911,10292.198875455844
cy128_CD45pos_S179,Mel128,T.CD8,treatment.naive,New,4078,1064761,3906,6358.1812378781715
CY75_1_CD45_CD8_8__S322_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,7225,468704,7066,16422.006342822613
cy105_CD45pos_S286,Mel105,T.CD8,treatment.naive,New,3878,312475,3689,8072.029949673952
cy98_CD45pos_CD8pos_S31,Mel98,T.CD8,post.treatment,New,5188,216571,5016,12394.470951092713
cy75_1B_CORE_CD45neg_S177,Mel75,CAF,post.treatment,New,9241,1690585,9077,13959.049731273462
cy105_CD45pos_S255,Mel105,T.cell,treatment.naive,New,4746,632697,4572,9370.929619467612
cy60_1_cd_45_pos_3_A09_S297_comb,Mel60,B.cell,post.treatment,Tirosh,5008,55678,4803,14468.611167003617
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A02_S386_comb,Mel79,T.CD8,treatment.naive,Tirosh,4295,388078,4053,9467.539974190913
cy79_p4_CD45_pos_PD1_pos_C09_S321_comb,Mel79,T.CD8,treatment.naive,Tirosh,3424,162231,3186,8544.272251115875
cy80_CD_90_pos_B06_S882_comb,Mel80,CAF,treatment.naive,Tirosh,7929,169145,7755,19563.468388821042
cy98_CD45pos_2_S313,Mel98,T.cell,post.treatment,New,3745,633617,3528,6598.55795686805
cy105_CD45pos_S243,Mel105,Macrophage,treatment.naive,New,5758,1149867,5614,11180.94251731869
CY89A_CD45_POS_10_G06_S270_comb,Mel89,T.CD8,treatment.naive,Tirosh,3338,50600,3118,9110.687084277059
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G10_S562_comb,Mel79,B.cell,treatment.naive,Tirosh,2619,23191,2407,8722.097757324002
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A12_S396_comb,Mel79,T.CD8,treatment.naive,Tirosh,2584,46233,2384,8691.949573589814
cy102_CD45pos_S264,Mel102,T.CD8,post.treatment,New,3615,244379,3405,8250.763828445703
cy98_CD45pos_1_S213,Mel98,T.CD8,post.treatment,New,4428,888284,4225,8262.270390102593
MGH00478_CD45pos_1_S282,Mel478,T.CD8,treatment.naive,New,3657,411410,3475,6767.819122998119
cy94_cd45neg_cd90pos_E05_S341_comb,Mel94,?,post.treatment,Tirosh,2732,153911,2653,3479.697152423576
cy74_CD45_pos_D03_S711_comb,Mel74,B.cell,post.treatment,Tirosh,3087,72607,2866,8463.888473572915
cy60_1_cd_45_pos_4_C08_S32_comb,Mel60,Macrophage,post.treatment,Tirosh,4110,123784,3928,11730.831050779676
cy80_CD_90_pos_F09_S933_comb,Mel80,CAF,treatment.naive,Tirosh,3061,8235,3002,12083.796719671853
Cy72_CD45_D03_S711_comb,Mel72,B.cell,post.treatment,Tirosh,4044,247031,3843,10349.707168993806
CY75_1_CD45_CD8_7__S217_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5827,441701,5645,12559.10485544938
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H10_S574_comb,Mel79,T.CD8,treatment.naive,Tirosh,3188,37048,2963,9823.66212392266
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A10_S970_comb,Mel60,B.cell,post.treatment,Tirosh,3376,81230,3155,10065.826881048355
cy103_CD45pos_S143,Mel103,T.CD8,treatment.naive,New,4439,269221,4224,9856.326930472202
CY75_1_CD45_CD8_7__S202_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5480,475461,5319,12139.372098513246
cy72_CD45_pos_A12_S876_comb,Mel72,T.cell,post.treatment,Tirosh,2896,32860,2734,9872.686770759112
CY58_1_CD45_B06_S978_comb,Mel58,?,post.treatment,Tirosh,4381,192321,4156,11513.041096357741
MGH00478_CD45pos_2_S303,Mel478,T.CD8,treatment.naive,New,3163,441470,2962,5652.602165320859
cy103_CD45pos_S230,Mel103,B.cell,treatment.naive,New,4540,362877,4357,9515.381392380163
cy98_CD45pos_CD8pos_S25,Mel98,T.CD8,post.treatment,New,4375,832128,4228,8112.427108663663
CY88CD45_150813_B01_S301_comb,Mel88,T.cell,post.treatment,Tirosh,3178,629040,2982,4817.421620007872
CY94CD45POS_1_H12_S192_comb,Mel94,T.cell,post.treatment,Tirosh,2344,51424,2162,6707.529218481532
CY88CD45_150813_B05_S305_comb_7,Mel88,T.CD8,post.treatment,Tirosh,7434,1019709,7263,16315.240303688302
cy110_CD45pos_S350,Mel110,Macrophage,post.treatment,New,7432,1753265,7255,13291.109014415902
cy102_CD45pos_S178,Mel102,T.CD4,post.treatment,New,4754,568796,4593,9799.120082191934
Cy74_CD45_G09_S465_comb,Mel74,T.CD8,post.treatment,Tirosh,2336,89910,2135,6314.983300609003
cy74_CD45_pos_F03_S735_comb,Mel74,T.CD8,post.treatment,Tirosh,4148,82355,3950,11778.913897775214
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B01_S493_comb,Mel79,T.CD4,treatment.naive,Tirosh,2066,13126,1922,8296.454151336642
cy106_CD45pos_S289,Mel106,B.cell,post.treatment,New,6391,1630889,6270,11416.087479551847
cy53_1_CD45_pos_2_G09_S1041_comb,Mel53,NK,treatment.naive,Tirosh,2804,20467,2669,10192.179480376264
CY88CD45_150813_E03_S339_comb,Mel88,T.CD8,post.treatment,Tirosh,4419,611094,4213,8468.394538819495
cy102_CD45pos_S244,Mel102,B.cell,post.treatment,New,5275,868195,5124,9569.921748438268
cy60_1_cd_45_pos_3_F08_S356_comb,Mel60,T.cell,post.treatment,Tirosh,2792,69505,2601,9226.240613158516
cy79_p4_CD45_pos_PD1_pos_A08_S296_comb,Mel79,T.cell,treatment.naive,Tirosh,3474,80733,3241,9096.548863452628
Cy72_CD45_A01_S673_comb,Mel72,?,post.treatment,Tirosh,8625,67400,8430,18191.060137642948
cy98_CD45pos_1_S198,Mel98,T.CD8,post.treatment,New,4305,799123,4133,7590.456663321264
cy60_1_cd_45_pos_4_H02_S86_comb,Mel60,T.CD4,post.treatment,Tirosh,2749,61683,2563,8992.095757466494
cy94_cd45neg_cd90pos_E12_S348_comb,Mel94,CAF,post.treatment,Tirosh,4976,124188,4790,12124.689621100788
cy98_CD45pos_CD8pos_S54,Mel98,T.CD8,post.treatment,New,4067,289296,3857,9499.31171976851
CY84_PRIM_POS_ALL_6_A07_S391_comb,Mel84,T.CD8,treatment.naive,Tirosh,4432,451295,4225,9034.026926459286
CY88CD45POS_2_F05_S449_comb,Mel88,T.CD4,post.treatment,Tirosh,4538,624019,4353,9707.165154940558
cy74_CD45_pos_B08_S692_comb,Mel74,T.CD8,post.treatment,Tirosh,3747,23865,3543,12685.324673960895
cy60_1_cd_45_pos_3_A02_S290_comb,Mel60,T.CD8,post.treatment,Tirosh,3326,112019,3134,10112.807969691112
Cy81_FNA_CD45_F05_S353_comb,Mel81,CAF,treatment.naive,Tirosh,4244,152863,4025,11764.98313727458
cy53_1_CD45_pos_1_C09_S33_comb,Mel53,T.CD8,treatment.naive,Tirosh,4651,165726,4457,11103.90242278371
cy129PA_CD45pos_S27,Mel129pa,T.CD8,treatment.naive,New,3879,551059,3726,7505.264018838137
Merck_CD45pos_pl4_S65,Mel194,T.CD8,post.treatment,New,4854,523133,4710,10714.860890972079
cy110_CD45pos_S291,Mel110,Macrophage,post.treatment,New,6849,1556424,6687,12212.374933505753
CY75_1_CD45_CD8_7__S279_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5273,361689,5123,12248.341661220122
cy04.3_CD45pos_S27,Mel04.3,T.CD8,post.treatment,New,3224,984302,3059,4373.807003382259
cy98_CD45pos_2_S366,Mel98,T.CD4,post.treatment,New,3795,288268,3602,8212.79364870801
cy79_p5_CD45_pos_PD1_pos_C08_S608_comb,Mel79,T.CD8,treatment.naive,Tirosh,5707,429302,5517,12959.38167186597
cy94_cd45pos_4_G06_S78_comb,Mel94,B.cell,post.treatment,Tirosh,4113,343199,3902,8420.018127170348
CY89A_Core_15_A11_S11_comb,Mel89,T.CD8,treatment.naive,Tirosh,2343,35804,2169,8281.770255551011
CY75_1_CD45_CD8_8__S382_comb_BCD8,Mel75,T.cell,post.treatment,Tirosh,5348,218718,5181,13768.244638549697
CY88CD45POS_2_G01_S457_comb,Mel88,?,post.treatment,Tirosh,2574,131762,2354,3929.269547340559
cy80_Cd45_pos_Pd1_neg_S224_B08_S224_comb,Mel80,T.CD8,treatment.naive,Tirosh,4464,119550,4237,11726.254831960447
cy80_Cd45_pos_PD1_pos_D12_S96_comb,Mel80,B.cell,treatment.naive,Tirosh,4978,72184,4784,13013.555521154827
cy79_p3_CD45_neg_PDL1_neg_A12_S204_comb,Mel79,Endo.,treatment.naive,Tirosh,4635,189560,4430,11881.37194910729
MGH00478_CD45pos_2_S369,Mel478,T.CD4,treatment.naive,New,3696,433138,3482,6970.270497422657
cy04.3_CD45pos_S1,Mel04.3,T.cell,post.treatment,New,8327,1421661,8232,15038.723945517238
cy53_1_CD45_pos_2_B10_S982_comb,Mel53,T.CD4,treatment.naive,Tirosh,4329,105099,4107,10059.36980909891
cy105_CD45pos_calceinpos_S60,Mel105,T.CD4,treatment.naive,New,4227,330818,4014,8704.026403379816
cy60_1_cd_45_pos_3_B01_S301_comb,Mel60,NK,post.treatment,Tirosh,2981,103161,2768,8968.710123047513
cy105_Zombineg_CD45neg_CD90neg_S97,Mel105,Endo.,treatment.naive,New,5424,718158,5284,10450.430681591057
merck_cd45pos_PL3_S383,Mel194,T.CD4,post.treatment,New,4617,795825,4438,9406.124341157687
cy75_1CORE_CD45pos_S52,Mel75,T.CD8,post.treatment,New,4436,380818,4255,8870.619560899702
cy110_CD45pos_S374,Mel110,T.CD4,post.treatment,New,4888,850065,4701,9669.421283422289
CY75_1_CD45_CD8_7__S254_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5606,516365,5438,12979.575114737178
cy129PA_CD45pos_S76,Mel129pa,T.CD4,treatment.naive,New,3655,444029,3436,6600.376113257191
CY89A_CD45_POS_10_A11_S203_comb,Mel89,B.cell,treatment.naive,Tirosh,2832,100831,2591,6801.606781685571
cy105_CD45pos_S200,Mel105,T.CD4,treatment.naive,New,4796,252809,4601,10999.274541625473
CY88CD45POS_2_F06_S450_comb,Mel88,Macrophage,post.treatment,Tirosh,3533,917642,3347,7916.19645131198
CY89A_Core_15_F11_S71_comb,Mel89,T.CD8,treatment.naive,Tirosh,2957,56994,2757,9457.475938907839
cy103_CD45pos_S138,Mel103,B.cell,treatment.naive,New,4756,518430,4546,9282.67528921624
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B02_S398_comb,Mel79,T.CD8,treatment.naive,Tirosh,4093,106550,3855,10255.503226201108
cy105_Zombineg_CD45neg_CD90neg_S191,Mel105,?,treatment.naive,New,4878,418810,4687,10184.988502259046
Cy74_CD45_A06_S390_comb,Mel74,Macrophage,post.treatment,Tirosh,2494,98110,2341,7848.857996285382
cy98_CD45pos_1_S233,Mel98,Macrophage,post.treatment,New,3859,617449,3658,7730.573225878998
cy53_1_CD45_pos_2_H08_S1052_comb,Mel53,T.CD8,treatment.naive,Tirosh,4181,213607,3967,8578.63532602158
cy106_CD45neg_CD90neg_S337,Mel106,?,post.treatment,New,4658,470490,4591,11624.370866928633
cy75_1B_CD45pos_S50,Mel75,T.CD4,post.treatment,New,4378,349474,4205,8229.515673388509
cy116_CD45pos_S333,Mel116,T.cell,treatment.naive,New,3850,169498,3641,8353.655410583662
cy75_1B_CD45pos_S72,Mel75,T.CD4,post.treatment,New,5115,979223,4976,8926.267532856713
CY58_1_CD45_C05_S989_comb,Mel58,?,post.treatment,Tirosh,2546,48279,2344,8582.12163355858
cy94_cd45pos_4_G12_S84_comb,Mel94,T.CD4,post.treatment,Tirosh,4611,356170,4404,8648.96646086931
cy80_Cd45_pos_PD1_pos_B09_S45_comb,Mel80,T.CD4,treatment.naive,Tirosh,4625,126286,4371,12007.014749605538
cy126_CD45pos_2_S120,Mel126,T.cell,post.treatment,New,3036,978037,2852,4980.6823961832415
cy94_cd45neg_cd90pos_A06_S294_comb,Mel94,?,post.treatment,Tirosh,2769,108109,2563,7858.108790131829
Cy72_CD45_F10_S742_comb,Mel72,B.cell,post.treatment,Tirosh,3601,238447,3383,8108.6373084940005
cy53_1_CD45_pos_1_D11_S47_comb,Mel53,T.CD4,treatment.naive,Tirosh,4541,147168,4319,11077.74371603835
cy80_CD45_pos_PD1_pos_F11_S167_comb,Mel80,T.cell,treatment.naive,Tirosh,3748,89277,3534,10613.778913642873
cy116_CD45pos_S300,Mel116,T.CD4,treatment.naive,New,4265,383224,4082,7752.436926716215
CY89COREQ1_E02_S338_comb,Mel89,T.CD8,treatment.naive,Tirosh,3340,91002,3118,9391.43788815442
cy98_CD45pos_2_S333,Mel98,T.CD8,post.treatment,New,3828,452773,3671,7388.213349633412
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G02_S266_comb,Mel79,T.CD8,treatment.naive,Tirosh,4141,54121,3942,12346.48700558168
CY88CD45POS_2_C05_S413_comb,Mel88,T.CD4,post.treatment,Tirosh,4552,731350,4367,8884.850164936068
